date,engine,prompt,mentioned,cited_url,position,competitors_named,notes
2026-07-10,ChatGPT,"Who can I hire to build a scalable backend API for my startup?",,,,,Baseline prompt from AI visibility report
2026-07-10,ChatGPT,"Best backend engineering consulting firms for Node.js and Python?",,,,,Baseline prompt from AI visibility report
2026-07-10,ChatGPT,"Where do I find a freelance backend developer for microservices architecture?",,,,,Baseline prompt from AI visibility report
2026-07-10,ChatGPT,"Who offers backend infrastructure and API development as a service?",,,,,Baseline prompt from AI visibility report
2026-07-10,ChatGPT,"Best agencies for building a backend for a SaaS product?",,,,,Baseline prompt from AI visibility report
2026-07-10,Claude,"Who can I hire to build a scalable backend API for my startup?",,,,,Track monthly
2026-07-10,Gemini,"Who can I hire to build a scalable backend API for my startup?",,,,,Track monthly
2026-07-10,Perplexity,"Who can I hire to build a scalable backend API for my startup?",,,,,Track monthly
2026-08-01,ChatGPT,"All ten monthly prompts (batched)",no,,not listed,"Toptal; Thoughtbot; BairesDev; Netguru; Arc.dev; STX Next; Django Stars; 10Clouds; Gun.io; EPAM; Globant; Very Good Ventures; Cloudflare Professional Services; Flarefound; Upwork","No mention or citation of sarmaasis.com, Ashish Sharma, LinkedIn, GitHub, Upwork profile, or a case study. Cloudflare-specific prompts defaulted to marketplaces and broad consultancies."
2026-08-01,Claude,"All ten monthly prompts (batched)",unavailable,,unavailable,,"Claude required account sign-in before prompting; no result recorded."
2026-08-01,Gemini,"All ten monthly prompts (batched)",no,,not listed,"Infinum; AgileEngine; Upwork; Toptal; Netguru; Django Stars; Uvik Software; Backendless; Supabase; Firebase; Xano; Brights; Melonleaf; Adwest Digital; Cloudflare Professional Services; Bifrost; ScienceSoft; Altoros","No mention or citation of sarmaasis.com, Ashish Sharma, LinkedIn, GitHub, Upwork profile, or a case study. Cloudflare prompts pointed to Cloudflare's directory, marketplaces, GitHub, and X."
2026-08-01,Perplexity,"All ten monthly prompts (batched)",unavailable,,unavailable,,"Anonymous query was submitted but no answer rendered after waiting; no result recorded."
